date,ticker,close,ret_21,ret_63,ret_126,spy_ret_63,rs_63,ma_20,ma_50,ma_100,avg_vol_5,avg_vol_20,avg_vol_50,vol_ratio_20_50,vol_acceleration,atr_pct,extension_pct,compression_ratio,proximity_20,proximity_50,rs_acceleration,extension_50ma,extension_20ma,structure_condition,relative_strength_score,trend_score,structure_score,volume_score,volatility_score,extension_score,total_score,signal,breakout_compression_score,breakout_volume_score,breakout_proximity_score,breakout_rs_acceleration_score,breakout_extension_score,breakout_structure_score,breakout_total_score,breakout_signal,tag,open,high,low
2026-03-30,CVX,210.7100067138672,0.1282395208367528,0.4045460652779562,0.3156218899595151,-0.0845127943413811,0.4890588596193373,197.96699905395508,186.07819915771483,169.72149978637697,11840832.0,14947088.0,12660453.2,1.1806123970348863,0.7921831998312983,0.0212034231652177,0.0643693530780807,1.1852184797257612,-0.0186297791203117,-0.0186297791203117,-0.2763065444412034,0.1323734197108985,0.0643693530780807,1,2,2,1,1,1,1,8,Strong Bullish,0,1,2,0,1,1,5,Breakout Watch,early_breakout,,,

2026-03-30,AKAM,110.22000122070312,0.1202358156768046,0.2465505937933207,0.4493096225872606,-0.0845127943413811,0.3310633881347019,108.142000579834,102.31660018920898,94.62479988098144,4957437.0,4689544.25,4759527.7,0.9852961355808476,1.0571255405042823,0.0443139523601601,0.0192154817714425,1.0195133353145065,-0.0899934055375217,-0.0899934055375217,-0.1263147781165161,0.0772445626308807,0.0192154817714425,1,2,2,1,0,1,1,7,Strong Bullish,0,1,0,0,2,1,4,Breakout Watch,early_breakout,,,
2026-03-30,CMA,88.66999816894531,0.0137189542871318,0.1550084935030888,0.3122687371528481,-0.0845127943413811,0.23952128784447,92.26399993896484,87.51540008544922,81.03879989624023,11529731.2,4186458.45,2492063.56,1.6799164022927249,2.7540536560204005,0.0311540602296515,-0.0389534571706956,1.3734412141446606,-0.1080374720603463,-0.1080374720603463,-0.141289539215957,0.0131930846727405,-0.0389534571706956,0,2,2,0,1,1,1,7,Strong Bullish,0,2,0,0,2,0,4,Breakout Watch,neutral,,,
2026-03-30,TWO,11.229999542236328,0.0871248427083613,0.0331186440172377,0.1412600983835221,-0.0845127943413811,0.1176314383586188,10.122500038146972,11.113200035095216,10.77500002861023,5056650.8,5070107.7,3832763.08,1.32283357832804,0.9973458354740669,0.0396896192140015,0.1094096813944883,0.7256828026188816,-0.0234783006751019,-0.2074806293738956,0.0540061986911235,0.0105099797333138,0.1094096813944883,0,2,2,0,1,1,1,7,Strong Bullish,2,1,0,2,0,0,5,Breakout Watch,early_breakout,,,
2026-03-30,XOM,171.47000122070312,0.1243934506275614,0.439593655797539,0.4628049772654199,-0.0845127943413811,0.5241064501389202,157.6270004272461,149.74639923095702,134.3181997680664,24389457.8,24317674.45,22687989.78,1.0718302805053537,1.0029519002792635,0.0251834851923679,0.0878212536934392,1.114349004726431,-0.0279203091497456,-0.0279203091497456,-0.3152002051699776,0.145069277801073,0.0878212536934392,1,2,2,1,0,1,1,7,Strong Bullish,0,0,0,0,1,1,2,No Setup,early_breakout,,,
2026-03-30,AMPX,14.720000267028809,0.3718546966462304,0.7799273823751771,0.3467520453826809,-0.0845127943413811,0.8644401767165583,17.13000020980835,13.669000072479248,12.05520001888275,7496146.0,10607846.5,9334402.6,1.1364247884487009,0.7066604894782367,0.0926193689195454,-0.1406888449072882,1.0174458463837337,-0.2550607238600334,-0.2550607238600334,-0.4080726857289467,0.0768893254061511,-0.1406888449072882,0,2,2,0,1,0,1,6,Strong Bullish,0,1,0,0,2,0,3,No Setup,momentum,,,
2026-03-30,COST,996.5800170898438,-0.0140582724862706,0.141100412147181,0.0880288266916773,-0.0845127943413811,0.2256132064885622,990.062496948242,986.26759765625,941.6341998291016,1466203.4,1727485.85,2092638.34,0.8255061646247005,0.848749875433133,0.0157675040447035,0.0065829381091508,0.8203381073436151,-0.0188727372977172,-0.0309788865967634,-0.1551586846334517,0.0104560055081399,0.0065829381091508,1,2,1,1,0,1,1,6,Strong Bullish,2,0,2,0,2,1,7,Strong Breakout Candidate,neutral,,,
2026-03-30,FSLY,25.520000457763672,0.3347279988292551,1.4921876004082173,2.0023529950310204,-0.0845127943413811,1.5767003947495986,24.647750186920167,17.50390007019043,14.038800029754638,11836737.8,12621254.45,13274769.78,0.9507701194950592,0.9378416263527594,0.1002798829069043,0.0353886364568228,1.4450432636091894,-0.1754442704789152,-0.1754442704789152,-1.1574596015789624,0.457960817613719,0.0353886364568228,1,2,2,1,0,0,1,6,Strong Bullish,0,0,0,0,0,1,1,No Setup,momentum,,,
2026-03-30,SEDG,47.369998931884766,0.3381355053687012,0.5556649505749294,0.2007604059766103,-0.0845127943413811,0.6401777449163105,42.3379997253418,38.35499996185303,35.780300025939944,3256403.2,3593650.8,3475028.32,1.0341356872740537,0.906154599105734,0.0837841977194715,0.1188530218524003,1.182615293025487,-0.1109234231009136,-0.1109234231009136,-0.2175294452062282,0.2350410371267851,0.1188530218524003,1,2,2,1,0,0,1,6,Strong Bullish,0,0,0,0,0,1,1,No Setup,momentum,,,
2026-03-30,AXSM,160.5,-0.0206846018809769,0.0555738032137087,0.3746145688892297,-0.0845127943413811,0.1400865975550899,160.20025024414062,172.70810119628905,162.60125030517577,635263.8,570715.95,611930.38,0.9326484983471484,1.1130997828254146,0.0333627073511209,0.0018710941799564,0.974573449998646,-0.0509023915012476,-0.1618798955613577,-0.0762584050946857,-0.0706863263027488,0.0018710941799564,0,2,1,0,0,1,1,5,Strong Bullish,0,1,0,0,2,0,3,No Setup,neutral,,,
2026-03-30,BXMT,19.270000457763672,0.0031234448803028,-0.0272589107893256,0.0288308023878824,-0.0845127943413811,0.0572538835520555,18.97750015258789,19.283400230407715,19.30470010757446,1927431.0,1481097.75,1452279.1,1.0198437407795788,1.301352999827324,0.0249462643526602,0.0154130050229979,1.0616481790257173,-0.0168367304736404,-0.0530712483273209,0.0303823556696284,-0.000694886404054,0.0154130050229979,0,2,1,0,0,1,1,5,Strong Bullish,0,1,2,1,2,0,6,Strong Breakout Candidate,neutral,,,
2026-03-30,CAR,135.55999755859375,0.3916434910403765,0.0275146296091537,-0.1594221245907012,-0.0845127943413811,0.1120274239505348,107.7034999847412,110.76439987182616,121.5997998046875,1795203.2,955905.8,854826.32,1.1182456338031337,1.8780126661016177,0.0710702571314723,0.2586405973603372,1.3799930487457213,-0.1046234939000115,-0.1046234939000115,0.3641288614312228,0.223858908778095,0.2586405973603372,0,2,1,0,1,1,0,5,Strong Bullish,0,1,0,2,0,0,3,No Setup,early_breakout,,,
2026-03-30,CHRS,1.600000023841858,-0.0419161287674508,0.2030074979055467,0.0666666825612385,-0.0845127943413811,0.2875202922469279,1.7014999985694883,1.8238999938964844,1.5914999985694884,1515921.0,1534175.25,2420286.1,0.6338817753818443,0.9881015874816128,0.0754464193579875,-0.0596532323320395,0.7575893164750366,-0.2233009377257598,-0.3883791810631481,-0.2449236266729976,-0.1227589071790599,-0.0596532323320395,0,2,1,0,0,1,1,5,Strong Bullish,2,0,0,0,2,0,4,Breakout Watch,neutral,,,
2026-03-30,EA,202.57000732421875,0.0099715806300342,-0.0108403048717926,0.0476855491577639,-0.0845127943413811,0.0736724894695884,200.6510009765625,201.34220001220703,202.17880004882807,2125882.4,2488180.6,2750552.24,0.904611286350264,0.8543923218435189,0.0049048204294796,0.0095639011931986,0.7470447446042561,-0.0012818345633723,-0.0094376169964853,0.0208118855018268,0.0060981121291874,0.0095639011931986,0,2,1,0,0,1,1,5,Strong Bullish,2,0,2,1,2,0,7,Strong Breakout Candidate,neutral,,,
2026-03-30,EDIT,2.2300000190734863,0.0136363503361538,0.0276497422442549,-0.3117283912007356,-0.0845127943413811,0.1121625365856361,2.32574999332428,2.110599992275238,2.2382499969005583,1464880.0,1833105.0,1734810.0,1.0566603835578536,0.7991249819295676,0.0735105795990737,-0.041169504256962,0.9480024016999596,-0.1934900779503694,-0.1934900779503694,-0.0140133919081011,0.0565716039208047,-0.041169504256962,0,2,1,0,0,1,1,5,Strong Bullish,1,0,0,0,2,0,3,No Setup,neutral,,,
2026-03-30,FATE,1.1299999952316284,-0.2364864995481324,0.1299999952316284,0.1299999952316284,-0.0845127943413811,0.2145127895730095,1.2139999985694885,1.2524000024795532,1.152400000691414,1293704.4,1482836.1,1690554.44,0.8771300497131581,0.8724527275806138,0.0777496779427653,-0.0691927540665906,0.8165161318071983,-0.2364864995481324,-0.3352941390964805,-0.3664864947797608,-0.0977323594742831,-0.0691927540665906,0,2,1,0,0,1,1,5,Strong Bullish,2,0,0,0,2,0,4,Breakout Watch,neutral,,,
2026-03-30,JD,28.940000534057617,0.0908405497563835,-0.0156462275660278,-0.1611594048099242,-0.0845127943413811,0.0688665667753533,27.76050014495849,27.956600074768065,28.841350078582764,13097194.2,13120663.55,10531071.42,1.24590015837154,0.9982112680573992,0.0262168115294694,0.0424884415965152,1.0200790567409792,-0.0337228782355032,-0.0402918297105516,0.1064867773224114,0.0351759676305242,0.0424884415965152,0,2,0,0,1,1,1,5,Strong Bullish,0,1,0,2,2,0,5,Breakout Watch,early_breakout,,,
2026-03-30,MRNA,48.22999954223633,-0.0996826616204709,0.5458332808608695,0.96937525491999,-0.0845127943413811,0.6303460752022506,52.87650051116943,48.78040016174317,38.86940006256104,5089293.4,8632953.35,10775717.34,0.8011488309881744,0.5895193908351191,0.0576715770588684,-0.0878745931371081,0.7699739563153368,-0.1900923566725973,-0.1900923566725973,-0.6455159424813404,-0.0112832329722973,-0.0878745931371081,0,2,1,0,0,1,1,5,Strong Bullish,2,0,0,0,2,0,4,Breakout Watch,neutral,,,
