ticker,regime,entry_date,entry_price,exit_date,exit_price,shares,gross_pl,return_pct,exit_reason
TQQQ,bull,2026-04-03,40.880001,2026-04-08,47.428001,100,654.8,16.0176,rotation_to_SOXL
SOXL,bull,2026-04-03,46.060001,2026-04-28,109.56,100,6350.0,137.8637,cash_zone_score_-1.6
SOXL,bull,2026-04-30,122.81,2026-05-04,127.55,92,436.08,3.8596,cash_zone_score_2.0
SOXL,bull,2026-05-05,135.0,2026-05-15,165.695,87,2670.46,22.737,trailing_stop
TQQQ,bull,2026-05-18,76.135,2026-05-20,76.51,198,74.25,0.4925,rotation_to_SOXL
SOXL,bull,2026-05-20,161.0,2026-05-27,217.98,93,5299.14,35.3913,trailing_stop
SOXL,bull,2026-05-27,242.66,2026-05-28,224.63,62,-1117.86,-7.4301,trailing_stop
SOXL,bull,2026-05-28,219.0,2026-06-01,227.03,93,746.79,3.6667,trailing_stop
SOXL,bull,2026-06-01,217.265,2026-06-04,262.7,89,4043.72,20.9123,trailing_stop
SOXL,bull,2026-06-04,242.04,2026-06-05,182.54,83,-4938.5,-24.5827,trailing_stop
TQQQ,bull,2026-06-05,81.55,2026-06-08,76.27,296,-1562.88,-6.4746,rotation_to_SOXL
SOXL,bull,2026-06-08,210.62,2026-06-09,201.68,91,-813.54,-4.2446,trailing_stop
TQQQ,bull,2026-06-09,78.48,2026-06-10,69.27,224,-2063.04,-11.7355,trailing_stop
TQQQ,bull,2026-06-10,71.68,2026-06-11,76.01,234,1013.22,6.0407,cash_zone_score_0.7
SOXL,bull,2026-06-11,192.3,2026-06-16,226.19,76,2575.64,17.6235,trailing_stop
SOXL,bull,2026-06-17,247.42,2026-06-23,231.42,74,-1184.0,-6.4667,trailing_stop
TQQQ,bull,2026-06-23,75.12,2026-06-24,73.3,244,-444.08,-2.4228,rotation_to_SOXL
SOXL,bull,2026-06-24,233.11,2026-06-25,252.61,73,1423.5,8.3651,cash_zone_score_0.6
TQQQ,bull,2026-06-26,72.065,2026-06-30,81.0,252,2251.62,12.3985,rotation_to_SOXL
SOXL,bull,2026-06-30,241.45,2026-07-01,217.55,75,-1792.5,-9.8985,trailing_stop
TQQQ,bull,2026-07-02,77.47,2026-07-06,76.42,240,-252.0,-1.3554,cash_zone_score_1.1
TQQQ,bull,2026-07-07,73.7,2026-07-08,72.72,249,-244.02,-1.3297,cash_zone_score_-1.2
SOXL,bull,2026-07-10,182.4,2026-07-13,165.37,99,-1685.97,-9.3366,trailing_stop
TQQQ,bull,2026-07-13,74.54,2026-07-14,75.02,243,116.64,0.6439,cash_zone_score_1.8
